query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.0042640000000000455
2,ming,2,1,True,0.0034159999999996415
3,ming,6,2,True,0.0022580000000003153
4,ming,2545,2,True,0.4991110000000001
5,ming,2,1,True,0.003241999999999301
6,ming,1000000,0,False,35.379901000000004
7,ming,4,2,True,0.001454999999999984
8,ming,5,2,True,0.0022510000000011132
9,ming,3,2,True,0.0011790000000004852
10,ming,2,1,True,0.0037509999999940646
11,ming,6,2,True,0.00198999999999927
12,ming,2,1,True,0.0033749999999983515
13,ming,561,1,True,0.03429299999999813
14,ming,4,2,True,0.0012200000000035516
15,ming,5,2,True,0.0018030000000024415
16,ming,2,1,True,0.004407000000000494
17,ming,3,2,True,0.001730999999999483
18,ming,3,2,True,0.0009250000000022851
19,ming,6,2,True,0.0020560000000031664
20,ming,6,2,True,0.002067000000003816
21,ming,6,2,True,0.001936000000000604
22,ming,6,2,True,0.0020150000000001
23,ming,2,1,True,0.003410999999999831
24,ming,2,1,True,0.004339000000001647
25,ming,3,2,True,0.0011019999999959396
26,ming,10,2,True,0.003829000000003191
27,ming,3,2,True,0.0009689999999977772
28,ming,561,1,True,0.025081999999997606
29,ming,2,1,True,0.0036020000000007713
30,ming,2,1,True,0.00436099999999584
31,ming,9,4,True,0.002853999999999246
32,ming,2,1,True,0.004610999999997034
33,ming,3,2,True,0.0009840000000025384
34,ming,6960,15,True,0.4672419999999988
35,ming,8,3,True,0.002676000000001011
36,ming,2,1,True,0.001474999999999227
37,ming,2670,2,True,0.11091199999999901
38,ming,3,2,True,0.0011190000000027567
39,ming,10,2,True,0.003276999999997088
40,ming,9,4,True,0.002633000000002994
41,ming,2655,2,True,0.09975900000000593
42,ming,2,1,True,0.004812000000001149
43,ming,10,2,True,0.002448000000001116
44,ming,6218,15,True,0.35044899999999757
45,ming,2,1,True,0.004566000000004067
46,ming,5,2,True,0.0019479999999987285
47,ming,2,1,True,0.003421999999993375
48,ming,8,3,True,0.002499000000000251
49,ming,1000000,0,False,44.946425000000005
50,ming,9,4,True,0.0037820000000010623
51,ming,561,1,True,0.025491999999999848
52,ming,2,1,True,0.0035069999999990387
53,ming,14,2,True,0.0036309999999986076
54,ming,3,2,True,0.0010440000000073724
55,ming,6,2,True,0.002262999999999238
56,ming,9,4,True,0.00292699999999968
57,ming,5,2,True,0.0018040000000070222
58,ming,561,1,True,0.02508999999999162
59,ming,12,2,True,0.003287999999997737
60,ming,2,1,True,0.0034649999999913916
61,ming,2,1,True,0.00362400000000207
62,ming,4,2,True,0.0011030000000005202
63,ming,2,1,True,0.0036349999999885085
64,ming,2,1,True,0.004587000000000785
65,ming,5,2,True,0.001834999999999809
66,ming,2545,2,True,0.08565400000000523
67,ming,2,1,True,0.003684000000006904
68,ming,4457,2,True,0.1948149999999913
69,ming,2,1,True,0.003693000000012603
70,ming,9,4,True,0.13694200000000478
71,ming,2670,2,True,0.11096600000000478
72,ming,561,1,True,0.025400000000004752
73,ming,1000000,0,False,34.833826
74,ming,3014,2,True,0.12402600000000064
75,ming,2545,2,True,0.08767500000000439
76,ming,2,1,True,0.004914999999996894
77,ming,6,2,True,0.0021689999999949805
78,ming,5,2,True,0.002831000000000472
79,ming,12,2,True,0.003454000000004953
80,ming,5259,2,True,0.21665699999999788
81,ming,2656,2,True,0.0986209999999943
82,ming,8,3,True,0.002624000000011506
83,ming,2,1,True,0.004488000000009151
84,ming,2,1,True,0.00358699999999601
85,ming,8,3,True,0.0024039999999985184
86,ming,2,1,True,0.0044699999999977535
87,ming,2,1,True,0.004408999999995444
88,ming,4980,15,True,0.19910699999999792
89,ming,3,2,True,0.0019489999999962038
90,ming,2,1,True,0.004440999999999917
91,ming,12,2,True,0.0021930000000054406
92,ming,3,2,True,0.0018510000000020455
93,ming,2,1,True,0.0034289999999970178
94,ming,2545,2,True,0.08207400000000575
95,ming,1000000,0,False,35.022724
96,ming,2,1,True,0.006148999999993521
97,ming,2,1,True,0.0036029999999982465
98,ming,2668,2,True,0.10928999999998723
99,ming,2545,2,True,0.08633500000001959
